FID_,COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,MEASURE,OFFSET,EVENTTYPE,AGENCY_CD,STATION_NM,STATE_CD,STATE,SITESTATUS,DA_SQ_MILE,LON_SITE,LAT_SITE,LON_NHD,LAT_NHD,NHD2GAGE_D,REVIEWED,BFIYRS,BFI_AVE,BFI_STDEV,GOTBFI,DAY1,DAYN,NDAYS,NDAYSGT0,MIN_,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99,MAX_,AVE,STDEV_,GOTQ,HUC,HUC_REG,SUBREGION,ACCOUNTING
NA,0,11/21/2006 0:00:00,17100308000014,NA,medium,0,0,"USGS, Water Resources Division",NA,14361500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14361500,55.152551,0,StreamGage,USGS,"ROGUE RIVER AT GRANTS PASS, OR",41,OR,A,2459,-123.317836,42.430396,-123.318206,42.429592,94.845,Y,65,0.711,0.078,1,19390101,20040930,24015,24015,606,852.32,1010,1140,1380,1480,1600,1910,2290,2790,3500,3980,4550,6340,8770,18500,124000,3402.544,4007.484,1,17100308,17,1710,171003
NA,0,11/21/2006 0:00:00,17100307000112,NA,medium,0,0,"USGS, Water Resources Division",NA,14344500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14344500,97.253766,0,StreamGage,USGS,N F LTL BUTE CR AB INTKE CANL LKECREEK OREG,41,OR,I,52,-122.601143,42.427629,-122.601387,42.425918,192.351,Y,10,0.789,0.057,1,19210401,19310930,3835,3835,5,9,13,17,27,33,37,44,52,61,74,81,90,112,127,180,601,60.201,41.323,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17120007000352,NA,medium,0,0,"USGS, Water Resources Division",NA,10378500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10378500,69.452604,0,StreamGage,USGS,"HONEY CREEK NEAR PLUSH,OREG.",41,OR,I,170,-119.923284,42.424882,-119.924074,42.425688,110.839,Y,46,0.55,0.084,1,19101001,19910930,17146,17146,0.1,0.2,0.32,0.6,1.7,2.4,3.2,5,7.5,13,25,34,49,100,158,312.53,3500,34.272,72.157,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17100307000072,NA,medium,0,0,"USGS, Water Resources Division",NA,14341500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14341500,29.238436,0,StreamGage,USGS,"SOUTH FORK LITTLE BUTTE CR NR LAKECREEK,OREG.",41,OR,I,138,-122.601143,42.408185,-122.602569,42.407928,120.162,Y,58,0.658,0.091,1,19211001,19820930,21184,21184,3,8,12,15,19,21,23,30,44,70,111,139,170,274,365,616.15,4580,104.177,150.168,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17100307000117,NA,medium,0,0,"USGS, Water Resources Division",NA,14343000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14343000,6.462902,0,StreamGage,USGS,"NO FK LITTLE BUTTE CR NR LAKECREEK,OREG.",41,OR,I,43.8,-122.537251,42.402631,-122.537246,42.402637,0.805,Y,63,0.889,0.032,1,19110623,19850930,23048,23048,10,17,25,32,42,46,50,58,67,76,86,92,100,122,140,167,728,72.511,36.896,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17040212000214,NA,medium,0,0,"USGS, Water Resources Division",NA,13092500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13092500,88.720359,0,StreamGage,USGS,MCMULLEN CREEK NR ROCK CREEK ID,16,ID,I,-999999,-114.369275,42.396475,-114.369459,42.396545,17.014,Y,0,0,0,0,19100401,19120630,274,273,0,0.155,0.2,0.2,0.7,1.5,1.5,3.5,4.8,7.5,13.5,19,25,43.5,52.25,71.25,84,13.105,17.298,1,17040212,17,1704,170402
NA,0,11/21/2006 0:00:00,17120007000403,NA,medium,0,0,"USGS, Water Resources Division",NA,10378000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10378000,6.43581,0,StreamGage,USGS,"TWELVEMILE CREEK NEAR PLUSH,OREG.",41,OR,I,37,-120.01773,42.383216,-120.018112,42.384826,182.709,Y,0,0,0,0,19110408,19111227,135,135,0.5,0.5,0.5,1,1.7,1.9,2.5,10,13,21,30,35,41,49.6,56,68.2,70,20.25,19.109,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17120007001076,NA,medium,0,0,"USGS, Water Resources Division",NA,10376500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10376500,47.022595,0,StreamGage,USGS,"FISH CREEK NEAR PLUSH,OREG.",41,OR,I,38,-119.901061,42.383217,-119.902572,42.381042,272.765,N,0,0,0,0,19140307,19140410,21,21,1,0,1.1,2.4,9.4,10,11.8,23.2,34,56,66,70,76.4,86.8,98.8,0,100,41.619,32.203,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17100311000063,NA,medium,0,0,"USGS, Water Resources Division",NA,14378000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14378000,14.255688,0,StreamGage,USGS,"ILLINOIS R NR SELMA, OREG.",41,OR,I,665,-123.812297,42.378999,-123.81282,42.378467,73.239,Y,11,0.417,0.063,1,19561001,19680131,4140,4140,61,67,81,94,132,160,216,460,900,1310,1980,2400,3000,5750,9579,21436,125000,2317.657,4818.342,1,17100311,17,1710,171003
NA,0,11/21/2006 0:00:00,17100307000119,NA,medium,0,0,"USGS, Water Resources Division",NA,14342500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14342500,88.029815,0,StreamGage,USGS,"NO FK LITTLE BUTTE CR AT F L NR LAKECREEK,OREG.",41,OR,I,20.8,-122.356691,42.376245,-122.356689,42.376235,1.059,Y,74,0.873,0.063,1,19141001,19890930,27079,26903,0,0.2,3,7,12,14,16,20,25,30,40,50,60,83,103,132,756,35.721,31.484,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17040212000301,NA,medium,0,0,"USGS, Water Resources Division",NA,13088400,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13088400,33.47709,0,StreamGage,USGS,DRY CREEK NR ARTESIAN CITY ID,16,ID,I,-999999,-114.187248,42.372135,-114.187164,42.372142,6.931,Y,4,0.555,0.1,1,19930813,19970930,1510,1493,0,0,0.2,0.5,0.8,0.9,0.97,1.2,1.9,4.4,8.27,12,17,30.9,48,104.89,147,10.94,19.916,1,17040212,17,1704,170402
NA,0,11/21/2006 0:00:00,17100307000329,NA,medium,0,0,"USGS, Water Resources Division",NA,14328000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14328000,58.500792,0,StreamGage,USGS,"ROGUE RIVER ABOVE PROSPECT, OREG.",41,OR,I,312,-122.499758,42.774849,-122.499687,42.774848,5.804,Y,78,0.809,0.048,1,19080101,19981008,28802,28802,210,282,320,360,420,446,479,551,637,749,909,1010,1130,1500,1900,2940,16000,825.847,614.722,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17100307000434,NA,medium,0,0,"USGS, Water Resources Division",NA,14337830,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14337830,97.606683,0,StreamGage,USGS,"ELK CREEK BELOW ALCO CREEK, NEAR TRAIL, OR",41,OR,A,111,-122.711431,42.730403,-122.71141,42.730388,2.343,Y,15,0.551,0.085,1,19860411,20030930,5763,5763,0.59,0.8,2.2,3.3,5.5,7,9.1,17,36,61,99,126,160,253,329,429,1800,85.579,114.344,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17040212000184,NA,medium,0,0,"USGS, Water Resources Division",NA,13094000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13094000,74.532095,0,StreamGage,USGS,SNAKE RIVER NR BUHL ID,16,ID,A,-999999,-114.712222,42.665833,-114.712318,42.666126,33.664,Y,57,0.854,0.073,1,19461212,20040930,21113,21113,1370,1590,1840,2000,2240,2360,2480,2740,3120,3900,5270,6120,7600,11300,14100,20000,36100,5062.27,4195.911,1,17040212,17,1704,170402
NA,0,11/21/2006 0:00:00,17100309000011,NA,medium,0,0,"USGS, Water Resources Division",NA,14370000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14370000,47.510177,0,StreamGage,USGS,"SLATE CREEK AT WONDER, OREG.",41,OR,I,31.4,-123.52062,42.360948,-123.520538,42.361595,72.648,Y,14,0.343,0.052,1,19431001,19570930,5114,5114,0.3,0.8,1.3,1.8,3.1,4.1,5.6,11,20,37,62,79,100,195,342,916.05,3160,81.012,189.643,1,17100309,17,1710,171003
NA,0,11/21/2006 0:00:00,17040212000237,NA,medium,0,0,"USGS, Water Resources Division",NA,13092000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13092000,61.765185,0,StreamGage,USGS,ROCK CREEK NR ROCK CREEK ID,16,ID,I,80,-114.30419500000001,42.356302,-114.304252,42.356311,4.759,Y,35,0.759,0.091,1,19091128,19741021,12837,12837,2.9,5.1,6.5,7.9,9.2,9.9,10,12,14,17,25,33,43,93.2,141,273.62,429,34.7,51.569,1,17040212,17,1704,170402
NA,0,11/21/2006 0:00:00,17100307001189,NA,medium,0,0,"USGS, Water Resources Division",NA,14335000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14335000,63.803197,0,StreamGage,USGS,ROGUE R BL S FK ROGUE R NR PROSPECT OREG.,41,OR,I,650,-122.595593,42.699849,-122.596008,42.700412,71.487,Y,37,0.854,0.042,1,19281001,19650930,13514,13514,570,686.15,800,883,1000,1050,1120,1260,1420,1680,2020,2230,2500,3150,3720,5500,35000,1796.864,1190.362,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17120006000096,NA,medium,0,0,"USGS, Water Resources Division",NA,10382500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10382500,29.184006,0,StreamGage,USGS,"CHEWAUCAN RIVER AT DAMSITE NEAR PAISLEY,OREG.",41,OR,I,158,-120.584413,42.466543,-120.584617,42.46651,17.093,Y,2,0.681,0.166,1,19120625,19160924,938,938,12,14.78,25,26,31,34,37,41,43,51,77,115,158.4,235.7,312.2,441,570,91.72,97.522,1,17120006,17,1712,171200
NA,0,11/21/2006 0:00:00,17100309000023,NA,medium,0,0,"USGS, Water Resources Division",NA,14369500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14369500,83.4071,0,StreamGage,USGS,"APPLEGATE RIVER NEAR WILDERVILLE, OR",41,OR,A,698,-123.406727,42.354005,-123.406791,42.353923,10.565,Y,43,0.622,0.12,1,19381001,20040930,15736,15736,0.85,6,22,51,140,187,219,273,348,456,684,837,1020,1590,2320,5506.3,36500,711.822,1228.91,1,17100309,17,1710,171003
NA,0,11/21/2006 0:00:00,17040208000219,NA,medium,0,0,"USGS, Water Resources Division",NA,13074000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13074000,98.165089,0,StreamGage,USGS,BIRCH CREEK NR DOWNEY ID,16,ID,I,6.56,-112.250972,42.350677,-112.25094,42.350537,15.888,Y,14,0.943,0.033,1,19120101,19490930,5251,5251,3.4,5.1,5.66,6.4,6.8,7,7.3,7.7,8.2,8.5,9.3,9.9,11,14,18,23,34,9.233,3.712,1,17040208,17,1704,170402
NA,0,11/21/2006 0:00:00,17100307000108,NA,medium,0,0,"USGS, Water Resources Division",NA,14339500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14339500,63.185326,0,StreamGage,USGS,S FK LITTLE BUTTE CR BIG ELK RNGR STA. OREG,41,OR,I,16.6,-122.359468,42.344301,-122.359741,42.344093,32.242,Y,24,0.871,0.066,1,19261001,19500930,8766,8766,4,5,6,7,9,9,10,11,12,13,15,16,19,36,62,90,130,17.847,17.503,1,17100307,17,1710,171003
NA,0,11/21/2006 0:00:00,17100308000532,NA,medium,0,0,"USGS, Water Resources Division",NA,14358495,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14358495,9.379419,0,StreamGage,USGS,"UNNAMED TRIB TO BEAR CR AT SAGE RD NR MEDFORD,OR",41,OR,I,-999999,-122.898373,42.342903,-122.897918,42.342659,46.223,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17100308,17,1710,171003
